passer_player_name,clutch_optimality,overall_optimality,clutch_rating,n_clutch_plays,n_total_plays
L.Jackson,0.5881294962857143,0.06724202321773398,0.5208874730679803,14,203
J.Herbert,0.41814649315789476,-0.015479473555793988,0.43362596671368875,19,233
J.Goff,0.28549378009090903,-0.1188155933218182,0.4043093734127272,11,275
T.Heinicke,-0.020713895111111116,-0.1810378448679487,0.16032394975683756,18,234
M.Jones,-0.024042272624999975,-0.17878957939753085,0.15474730677253087,24,243
D.Jones,0.014314120929999985,-0.030718738853982307,0.04503285978398229,20,226
D.Prescott,0.25784059937500003,0.2181849549898305,0.039655644385169525,16,177
P.Mahomes,0.12163115531250003,0.08585358166889766,0.03577757364360237,16,254
T.Bridgewater,0.14661787326666667,0.16506686078500002,-0.01844898751833335,15,228
G.Smith,-0.030788980500000056,0.06947146875384615,-0.1002604492538462,14,78
B.Mayfield,-0.20719733493333334,-0.01605805371506024,-0.1911392812182731,15,166
R.Tannehill,-0.28614793257142856,-0.009819876941921392,-0.2763280556295072,28,229
K.Cousins,-0.32519691553658536,0.03014189646160714,-0.3553388119981925,41,224
T.Brady,-0.33523815380000005,0.11560267149963899,-0.45084082529963904,20,277
C.Wentz,-0.5482323779473685,-0.0031918811478048818,-0.5450404967995636,19,205
